"sample_number";"quadrat1";"quadrat2";"quadrat3";"quadrat4";"quadrat5";"quadrat6";"quadrat7";"quadrat8";"quadrat9";"quadrat10";"quadrat11";"quadrat12";"quadrat13";"quadrat14";"quadrat15";"quadrat16";"quadrat17";"quadrat18";"quadrat19";"quadrat20"
"sample1";"cluster11";"cluster04";"random08";"cluster05";"random02";"gradient10";"random04";"random16";"cluster16";"random21";"random06";"random22";"gradient06";"cluster12";"cluster18";"random10";"cluster01";"cluster07";"random18";"cluster08"
"sample2";"gradient04";"random11";"cluster08";"gradient08";"random12";"random14";"cluster24";"gradient05";"random20";"cluster06";"cluster11";"cluster10";"cluster19";"random08";"random21";"random23";"random04";"random03";"gradient02";"cluster02"
"sample3";"cluster21";"cluster12";"random18";"cluster20";"cluster13";"cluster24";"gradient01";"gradient05";"random19";"random15";"random04";"cluster11";"cluster18";"random24";"random21";"random03";"cluster17";"random20";"random06";"cluster23"
"sample4";"cluster09";"random16";"cluster01";"random11";"random20";"cluster07";"cluster03";"cluster04";"gradient02";"cluster05";"cluster23";"random03";"random22";"random08";"gradient08";"random24";"random05";"cluster14";"cluster25";"random04"
"sample5";"gradient10";"gradient08";"random09";"gradient04";"random01";"random02";"random06";"gradient09";"gradient05";"random22";"cluster06";"cluster20";"cluster17";"cluster04";"cluster18";"random16";"random21";"gradient07";"random08";"random03"
"sample6";"gradient10";"cluster08";"cluster06";"cluster15";"random16";"random15";"random22";"cluster24";"cluster02";"cluster22";"cluster19";"random02";"cluster01";"random04";"cluster03";"random11";"random13";"gradient09";"cluster12";"random01"
"sample7";"random11";"cluster24";"random18";"random10";"random06";"cluster01";"random14";"random21";"cluster12";"cluster17";"random04";"random16";"gradient06";"cluster14";"gradient01";"random07";"cluster22";"cluster09";"random05";"random03"
"sample8";"gradient07";"random10";"cluster23";"cluster07";"random12";"cluster05";"random24";"cluster04";"gradient09";"cluster20";"random19";"cluster09";"random25";"random08";"random09";"gradient03";"cluster19";"cluster12";"cluster02";"random21"
"sample9";"random04";"random12";"cluster25";"random15";"random23";"gradient06";"cluster20";"cluster24";"cluster17";"cluster23";"cluster22";"gradient04";"random11";"gradient09";"random03";"cluster15";"random25";"gradient10";"gradient02";"random09"
"sample10";"cluster24";"random14";"random06";"random17";"random18";"random15";"gradient09";"random02";"cluster14";"cluster09";"random21";"cluster16";"gradient10";"cluster08";"cluster03";"gradient08";"cluster07";"random07";"random09";"random24"
"sample11";"cluster05";"cluster17";"random05";"random17";"gradient05";"cluster16";"cluster14";"cluster09";"random10";"gradient06";"random19";"cluster07";"cluster04";"cluster18";"gradient04";"random01";"random14";"gradient10";"cluster02";"cluster19"
"sample12";"random09";"random22";"random18";"cluster07";"random25";"random12";"random20";"random16";"random23";"gradient05";"cluster21";"cluster01";"random19";"gradient04";"cluster19";"cluster17";"gradient03";"random06";"gradient02";"cluster08"
"sample13";"gradient09";"cluster20";"random25";"gradient08";"random22";"cluster18";"cluster03";"random24";"gradient03";"cluster02";"cluster24";"random17";"cluster25";"cluster10";"cluster19";"cluster08";"random20";"random18";"cluster22";"cluster17"
"sample14";"cluster24";"gradient03";"random03";"cluster11";"gradient01";"random08";"cluster20";"random10";"cluster25";"cluster03";"cluster23";"cluster01";"random17";"random25";"random06";"random24";"cluster17";"cluster15";"random14";"random23"
"sample15";"cluster23";"cluster24";"random20";"gradient10";"cluster08";"random15";"random04";"gradient09";"cluster09";"gradient08";"random07";"random22";"random18";"random25";"cluster25";"random24";"cluster19";"cluster13";"random09";"random05"
"sample16";"cluster03";"random08";"gradient04";"cluster20";"cluster01";"cluster16";"random25";"random09";"random21";"random04";"random23";"random06";"cluster25";"cluster09";"cluster21";"random07";"cluster15";"gradient02";"cluster23";"cluster02"
"sample17";"cluster19";"cluster13";"random18";"cluster04";"cluster01";"cluster24";"cluster06";"cluster10";"cluster11";"cluster22";"random05";"cluster25";"random13";"random23";"gradient01";"gradient08";"random08";"cluster02";"cluster14";"gradient10"
"sample18";"random07";"random15";"cluster09";"cluster16";"gradient09";"cluster18";"gradient07";"random13";"cluster19";"random04";"cluster12";"cluster08";"random14";"random23";"cluster01";"gradient05";"gradient10";"cluster14";"gradient06";"random22"
"sample19";"cluster12";"random11";"cluster13";"cluster18";"random17";"cluster10";"cluster22";"gradient05";"random07";"random19";"cluster23";"cluster01";"gradient09";"cluster06";"cluster15";"cluster04";"random01";"random22";"cluster20";"cluster21"
"sample20";"random16";"random04";"cluster11";"cluster06";"random19";"cluster14";"cluster15";"random24";"cluster02";"gradient04";"random11";"random23";"cluster16";"random12";"gradient03";"cluster05";"random09";"cluster01";"random13";"cluster12"
"sample21";"gradient09";"gradient05";"gradient04";"random11";"cluster15";"cluster08";"random24";"gradient10";"random03";"random21";"random14";"cluster06";"random18";"cluster09";"cluster10";"random25";"gradient03";"random16";"random15";"random04"
"sample22";"cluster22";"cluster10";"random22";"cluster09";"gradient07";"gradient01";"random23";"random04";"random01";"cluster19";"random21";"random11";"random05";"cluster20";"gradient08";"random14";"cluster01";"cluster23";"random16";"random15"
"sample23";"cluster22";"cluster12";"cluster05";"gradient04";"cluster21";"cluster10";"random09";"random06";"cluster19";"random24";"cluster25";"random13";"random05";"cluster04";"random22";"cluster14";"gradient06";"gradient01";"gradient10";"random10"
"sample24";"cluster18";"cluster03";"random21";"cluster04";"gradient10";"random01";"random07";"cluster12";"random25";"cluster25";"gradient07";"cluster17";"cluster01";"random08";"random19";"cluster02";"random10";"cluster10";"random06";"gradient04"
"sample25";"gradient05";"random11";"random19";"random25";"gradient08";"random15";"cluster16";"cluster19";"cluster14";"cluster10";"random02";"cluster11";"cluster06";"cluster04";"cluster15";"random16";"cluster25";"random01";"random07";"cluster02"
"sample26";"cluster10";"gradient02";"cluster23";"cluster06";"random06";"random11";"cluster17";"random24";"random03";"cluster09";"cluster02";"gradient07";"cluster14";"cluster15";"cluster11";"random05";"cluster04";"gradient10";"random16";"random17"
"sample27";"cluster20";"gradient10";"cluster23";"random20";"gradient06";"cluster09";"gradient01";"cluster15";"cluster11";"cluster16";"cluster17";"gradient08";"gradient02";"cluster10";"cluster21";"cluster08";"random21";"gradient03";"random24";"gradient07"
"sample28";"random20";"gradient03";"cluster16";"random16";"random07";"random09";"gradient02";"gradient10";"cluster10";"cluster24";"cluster13";"cluster14";"cluster18";"cluster17";"cluster01";"random03";"cluster09";"cluster12";"cluster03";"cluster20"
"sample29";"cluster10";"gradient10";"gradient07";"cluster09";"random18";"random14";"cluster11";"cluster22";"random19";"random17";"random13";"cluster16";"cluster18";"random21";"cluster04";"gradient04";"random05";"gradient06";"cluster08";"random23"
"sample30";"gradient01";"random21";"cluster18";"random02";"cluster19";"gradient04";"cluster24";"cluster16";"gradient10";"random20";"cluster20";"cluster17";"gradient08";"cluster08";"gradient09";"random13";"gradient05";"cluster10";"random19";"random22"
"sample31";"random17";"gradient02";"cluster19";"gradient10";"cluster13";"random11";"cluster06";"cluster17";"gradient09";"random09";"random24";"cluster24";"random14";"random18";"cluster05";"gradient08";"gradient01";"random22";"cluster22";"random20"
"sample32";"cluster23";"cluster18";"gradient05";"random16";"cluster03";"cluster10";"random07";"cluster17";"gradient01";"random15";"random01";"cluster01";"cluster24";"random22";"cluster20";"cluster02";"random03";"cluster19";"gradient03";"random13"
"sample33";"random06";"random02";"cluster12";"cluster22";"random15";"random18";"cluster04";"cluster08";"random21";"random04";"random01";"gradient07";"random25";"gradient06";"random12";"random19";"cluster23";"cluster02";"gradient01";"random17"
"sample34";"gradient03";"cluster10";"cluster15";"cluster06";"cluster11";"cluster23";"random12";"gradient04";"random07";"gradient08";"gradient10";"random23";"cluster03";"cluster19";"gradient06";"random14";"gradient05";"cluster07";"cluster08";"cluster09"
"sample35";"cluster03";"random20";"cluster12";"gradient09";"gradient07";"cluster10";"cluster14";"random10";"random16";"random04";"random22";"random01";"gradient06";"gradient08";"cluster04";"cluster22";"gradient03";"random25";"cluster23";"cluster15"
"sample36";"random09";"cluster01";"random10";"random23";"cluster25";"random16";"random02";"random14";"random25";"gradient10";"cluster20";"cluster16";"cluster05";"random15";"random20";"random01";"cluster19";"gradient08";"random08";"cluster18"
"sample37";"cluster18";"cluster02";"random23";"random18";"random15";"gradient08";"cluster11";"random05";"cluster07";"cluster21";"random14";"gradient07";"gradient03";"cluster24";"cluster03";"random04";"cluster23";"random10";"gradient05";"random02"
"sample38";"random03";"cluster12";"cluster01";"random09";"random15";"random11";"cluster25";"cluster08";"cluster11";"random20";"cluster17";"cluster19";"random13";"cluster06";"random19";"random21";"cluster21";"cluster10";"random14";"random02"
"sample39";"random23";"gradient04";"cluster04";"cluster16";"random05";"random15";"cluster07";"random13";"random09";"random14";"cluster17";"cluster09";"random18";"cluster05";"gradient08";"gradient07";"random06";"gradient05";"gradient01";"cluster13"
"sample40";"cluster01";"cluster10";"random22";"random25";"cluster22";"random18";"random15";"random14";"cluster25";"random04";"gradient02";"gradient03";"random10";"cluster17";"cluster19";"cluster18";"cluster05";"cluster12";"gradient04";"random21"
"sample41";"cluster10";"random09";"gradient10";"cluster06";"gradient08";"cluster13";"gradient06";"cluster15";"gradient03";"random16";"gradient09";"gradient01";"random06";"random22";"random17";"cluster12";"gradient04";"random08";"cluster21";"cluster24"
"sample42";"random11";"gradient01";"cluster12";"random09";"cluster25";"gradient07";"random25";"random18";"cluster08";"cluster10";"cluster13";"cluster07";"cluster05";"random07";"gradient02";"random14";"cluster19";"cluster20";"cluster03";"random05"
"sample43";"random15";"cluster23";"random02";"cluster08";"cluster09";"gradient08";"random03";"random13";"random25";"random14";"random24";"cluster04";"cluster07";"random09";"gradient04";"cluster22";"cluster01";"gradient03";"random01";"cluster20"
"sample44";"random02";"random09";"cluster08";"cluster22";"random15";"random04";"cluster07";"cluster09";"gradient09";"cluster01";"random18";"random16";"random12";"cluster10";"gradient10";"random11";"random23";"random17";"random14";"random10"
"sample45";"random17";"random13";"gradient08";"gradient07";"cluster04";"random09";"random25";"cluster06";"random15";"gradient05";"gradient04";"gradient06";"gradient02";"cluster09";"random07";"cluster03";"random08";"cluster13";"gradient09";"cluster05"
"sample46";"random17";"cluster15";"cluster12";"random19";"cluster11";"gradient06";"gradient10";"gradient08";"random22";"cluster21";"cluster18";"cluster13";"random11";"random12";"random02";"cluster24";"random07";"cluster10";"cluster04";"random04"
"sample47";"random03";"random04";"random14";"random25";"cluster17";"random13";"cluster03";"gradient01";"cluster21";"random02";"random05";"cluster25";"gradient10";"gradient09";"random24";"cluster06";"cluster23";"cluster13";"random01";"random20"
"sample48";"gradient08";"cluster07";"random10";"cluster02";"gradient09";"cluster15";"cluster18";"cluster22";"gradient07";"random08";"random13";"random17";"random15";"gradient10";"random12";"random25";"random22";"random06";"random16";"cluster01"
"sample49";"cluster21";"random04";"random22";"gradient04";"cluster08";"random11";"random24";"cluster02";"random14";"cluster05";"cluster18";"random25";"cluster13";"cluster19";"cluster07";"gradient02";"cluster22";"cluster04";"gradient01";"random13"
"sample50";"gradient05";"cluster14";"cluster10";"cluster22";"cluster01";"random20";"random03";"cluster02";"random24";"cluster19";"gradient03";"random07";"cluster04";"cluster13";"cluster03";"random19";"random05";"random25";"cluster24";"random15"
